name,str_hausnr,plz_ort,kategorie,hauptkateg,beschreib,url,bedeutung,prioritaet,poi_id,angelegt,geaendert,qstatus_id,coll_id,coll_pfad,coll_desc,ma_darst,ma_sign,sammlung,samm_pfad
ev. Schulreferat Bochum,Westring 26a,44787 Bochum,Weiterbildungseinrichtungen,Bildung,"Das Schulreferat bietet Fortbildungen, Exkursionen und schulinterne Fortbildungen im Bereich der Religionspädagogik.",www.kirchenkreis-bochum.de/einrichtungen/schulreferat.html,"3","1","200960",2012/06/19,2018/09/27,"3","254",Bildung/Weiterbildungseinrichtungen,Weiterbildungseinrichtungen und Erwachsenenbildung,"1",61200000XEWeiterbildung,,
Schulverbund Michael-Ende-Schule,Oberstraße 65,44892 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.michael-ende-schule-bochum.de/,"3","1","201",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Schulverbund Michael-Ende-Schule Teilstandort,Somborner Straße 22,44894 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.michael-ende-schule-bochum.de/,"3","1","202",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Web-Individualschule GmbH,Wittener Straße 2,44789 Bochum,Weiterbildungseinrichtungen,Bildung,Unterricht per Computer und Videotelefon (Skype).,www.web-individualschule.de,"1","6","202963",2012/09/12,2018/09/19,"3","254",Bildung/Weiterbildungseinrichtungen,Weiterbildungseinrichtungen und Erwachsenenbildung,"1",61200000XEWeiterbildung,,
Web-Individualschule GmbH,Wittener Straße 2,44789 Bochum,Private Ersatzschulen,Bildung,Unterricht per Computer und Videotelefon (Skype).,www.web-individualschule.de,"1","3","202963",2012/09/12,2018/09/19,"3","58",Bildung/Privatschulen/Private Ersatzschulen,,"1",61100000XESchuleAllgemein,,
Von-Waldthausen-Schule,Von-Waldthausen-Straße 82,44894 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.von-waldthausen-schule.bobi.net/,"3","1","204",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Nelson-Mandela-Schule,Stiftstraße 25,44892 Bochum,Sekundarschulen,Bildung,Ganztagsschule,www.sekundarschule-bochum-ost.de,"3","1","205165",2012/10/19,2020/08/04,"3","191721",Bildung/Allgemeinbildende Schulen/Sekundarschulen,Sekundarschulen,"1",61101100XESchuleAllgemeinHauptRealschule,,
Grundschule Westenfeld,Westenfelder Straße 107,44867 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.ggs-westenfeld.de,"3","1","206",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Bunte Schule,Am Neggenborn 75,44892 Bochum,Grundschulen,Bildung,"städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.bunte-schule.bobi.net/,"3","1","207",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Schule Auf dem Alten Kamp,Auf dem Alten Kamp 35-37,44803 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.ggs-alten-kamp.bobi.net/,"3","1","208",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
