OBJECTID;planid;name;datum;scanurl;kategorie;katart;klassifins;Bezeichnun;URL2;X_ETRS89;Y_ETRS89;kurzbe
659;DE_05911000_A151;Graf-Adolf-Str. 24;1990-08-08;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A151.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A151.jpg;371349;5704631;Wohnhaus / Geschäftshaus
660;DE_05911000_A111;Graf-Engelbert-Str. 5;1989-10-30;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A111.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A111.jpg;376449;5705820;Wohnhaus / Geschäftshaus
661;DE_05911000_A328;Graf-Engelbert-Str.  27;1995-01-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A328.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A328.jpg;376284;5705884;Wohnhaus / Geschäftshaus
662;DE_05911000_A329;Graf-Engelbert-Str.  29;1995-01-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A329.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A329.jpg;376274;5705888;Wohnhaus / Geschäftshaus
663;DE_05911000_A321;Graf-Engelbert-Str.  30;1994-11-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A321.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A321.jpg;376255;5705938;Wohnhaus / Geschäftshaus
664;DE_05911000_A468;Gräfin-Imma-Str. 48;1998-09-15;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A468.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A468.jpg;377474;5698837;Wohnhaus / Geschäftshaus
665;DE_05911000_A417;Gräfin-Imma-Str. 212;1997-01-30;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A417.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A417.jpg;377233;5697610;Wohnhaus / Geschäftshaus
666;DE_05911000_A646;Gremmestr. 11;2009-02-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A646.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A646_11.jpg;374934;5704457;Wohnhaus / Geschäftshaus
667;DE_05911000_A646;Gremmestr. 11 a;2009-02-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A646.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A646_11a.jpg;374940;5704459;Wohnhaus / Geschäftshaus
668;DE_05911000_A646;Gremmestr. 13;2009-02-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A646.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A646_13-13a.jpg;374936;5704452;Wohnhaus / Geschäftshaus
669;DE_05911000_A646;Gremmestr. 13 a;2009-02-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A646.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A646_13-13a.jpg;374942;5704454;Wohnhaus / Geschäftshaus
670;DE_05911000_A646;Gremmestr. 15;2009-02-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A646.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A646_15-15a.jpg;374940;5704443;Wohnhaus / Geschäftshaus
671;DE_05911000_A646;Gremmestr. 15 a;2009-02-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A646.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A646_15-15a.jpg;374945;5704444;Wohnhaus / Geschäftshaus
672;DE_05911000_A646;Gremmestr. 17;2009-02-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A646.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A646_17-17a.jpg;374942;5704438;Wohnhaus / Geschäftshaus
673;DE_05911000_A646;Gremmestr. 17 a;2009-02-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A646.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A646_17-17a.jpg;374946;5704439;Wohnhaus / Geschäftshaus
674;DE_05911000_A646;Gremmestr. 19;2009-02-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A646.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A646_19.jpg;374951;5704408;Wohnhaus / Geschäftshaus
675;DE_05911000_A646;Gremmestr. 19 a;2009-02-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A646.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A646_19a.jpg;374956;5704409;Wohnhaus / Geschäftshaus
676;DE_05911000_A646;Gremmestr. 25;2009-02-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A646.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A646_25-25a.jpg;374968;5704358;Wohnhaus / Geschäftshaus
677;DE_05911000_A646;Gremmestr. 25 a;2009-02-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A646.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A646_25-25a.jpg;374974;5704359;Wohnhaus / Geschäftshaus
678;DE_05911000_A646;Gremmestr. 31;2009-02-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A646.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A646_31-31a.jpg;374973;5704344;Wohnhaus / Geschäftshaus
